gp_naturepieceg;gp_souche;gp_numero;gp_datepiece;gp_tiers;gp_representant;gp_totalht;gp_totalttc
FAC;;VTE/2021/05544;06/10/2021;DECODIA67;;2657,08;3188,5
FAC;;VTE/2021/05485;07/10/2021;NPDCENVE62;EVRARD;534,45;641,34
FAC;;VTE/2021/05486;07/10/2021;AGICHAUF54;FERRE;105,68;126,82
FAC;;VTE/2021/05702;19/10/2021;IMMOPLUS56;LESUR;160,0;192,0
FAC;;VTE/2021/05704;19/10/2021;IMMOPLUS56;LESUR;160,0;192,0
FAC;;VTE/2021/06043;03/11/2021;VERLINDEVE;LELEU;234,1;280,92
FAC;;VTE/2021/06189;04/11/2021;SNCFBISCH;DEVAL;2907,6;3489,12
FAC;;VTE/2021/06193;09/11/2021;ISEINVES95;SCHWAR;235,57;282,68
FAC;;VTE/2021/06468;18/11/2021;AFRTINCQ62;EVRARD;160,0;192,0
FAC;;VTE/2021/04141;15/07/2021;LGBETON;KHAJJ;263,4;316,08
FAC;;VTE/2021/04155;19/07/2021;SAGECO33;SAID;1791,18;2149,42
FAC;;VTE/2021/04459;02/08/2021;PORTEFAI17;ZMUDA;81,5;97,8
FAC;;VTE/2021/04341;27/07/2021;ALBEMARLE;WURTZ;601,5;721,8
FAC;;VTE/2021/04375;29/07/2021;DDECOLMA;WEISS;834,35;1001,22
FAC;;VTE/2021/04692;02/09/2021;FLEURSSAND;;93,0;111,6
FAC;;VTE/2021/05064;20/09/2021;BOYERLEMPD;HESS;81,5;97,8
FAC;;VTE/2021/05331;30/09/2021;CASTRASBOU;MODRY;452,0;542,4
FAC;;VTE/2021/05332;30/09/2021;WOKKINGA31;AMSEL;52,34;62,81
FAC;;VTE/2021/05373;04/10/2021;COURTEIXST;CORIAT;2027,55;2433,06
FAC;;VTE/2021/04189;20/07/2021;AUTO2ROU74;DONNE;110,59;132,71
FAC;;VTE/2021/05400;04/10/2021;BAJEUX;HESS;95,0;114,0
FAC;;VTE/2021/05401;04/10/2021;GOSSETPHIL;HELIN;177,5;213,0
FAC;;VTE/2021/04567;30/08/2021;HONFLEUR59;CUREL;136,0;163,2
FAC;;VTE/2021/05402;04/10/2021;GARADELMOT;GASSM;566,5;679,8
FAC;;VTE/2021/05403;04/10/2021;AISMARCQ59;DELBA;203,4;244,08
FAC;;VTE/2021/05404;04/10/2021;JUMELEC;GASSM;178,0;213,6
FAC;;VTE/2021/05405;04/10/2021;AUPOTAGE14;DELBA;110,7;132,84
FAC;;VTE/2021/05406;04/10/2021;CABSTOGUIC;HESS;110,7;132,84
FAC;;VTE/2021/05407;04/10/2021;LABASENI30;ZMUDA;85,0;102,0
FAC;;VTE/2021/05408;04/10/2021;ATLM;DELBA;133,0;159,6
FAC;;VTE/2021/05409;04/10/2021;COIFHARMO;ZMUDA;152,2;182,64
FAC;;VTE/2021/05410;04/10/2021;PODOWATCHI;DECRO;95,0;114,0
FAC;;VTE/2021/05429;04/10/2021;BIOBLABI31;AMSEL;160,3;192,36
FAC;;VTE/2021/05411;04/10/2021;LECHEVIN;HELIN;92,7;111,24
FAC;;VTE/2021/05412;04/10/2021;VISIOPOLE;ADLER;151,25;181,5
FAC;;VTE/2021/05413;04/10/2021;DROUETVIEU;DELBA;86,1;103,32
FAC;;VTE/2021/05414;04/10/2021;ROBERTET;CDESUDEST;300,5;360,6
FAC;;VTE/2021/05415;04/10/2021;CMBOURGLV26;CDESUDEST;762,1;914,52
FAC;;VTE/2021/05416;04/10/2021;ASSAINSERV;EVRARD;1155,38;1386,46
FAC;;VTE/2021/05417;04/10/2021;SOVECILLKI;LUTZ;1408,0;1689,6
FAC;;VTE/2021/05418;04/10/2021;MAIBLOTZHE;WURTZ;573,53;688,24
FAC;;VTE/2021/05419;04/10/2021;MAIHATTEN;DEVAL;885,0;1062,0
FAC;;VTE/2021/05420;04/10/2021;MAIBEAURO;LELEU;532,9;639,48
FAC;;VTE/2021/05421;04/10/2021;DOMAINEVIO;LUKOW;124,5;149,4
FAC;;VTE/2021/05422;04/10/2021;MAISTJCOL;MENIRI;227,4;272,88
FAC;;VTE/2021/05423;04/10/2021;RTEBOLLE84;LUKOW;357,88;429,46
FAC;;VTE/2021/05424;04/10/2021;LAPRESSE22;BESCO;176,1;211,32
FAC;;VTE/2021/05425;04/10/2021;LARIVIBO24;MENIRI;1049,55;1259,46
FAC;;VTE/2021/05426;04/10/2021;EBTMSASU;EVRARD;3502,0;4202,4
FAC;;VTE/2021/05427;04/10/2021;LOXAMCOL31;AMSEL;241,85;290,22
FAC;;VTE/2021/05428;04/10/2021;MAILUTTEN;WEISS;130,86;157,03
FAC;;VTE/2021/05430;04/10/2021;MHEMMERLIN;WURTZ;203,82;244,58
FAC;;VTE/2021/05431;04/10/2021;ATELMUNI57;LEONE;484,85;581,82
FAC;;VTE/2021/05432;04/10/2021;LESLOISI33;SAID;106,16;127,39
FAC;;VTE/2021/05433;04/10/2021;CAROLECO45;DOSSA;199,5;239,4
FAC;;VTE/2021/05434;06/10/2021;MRTARTAIX;DELBA;89,0;106,8
FAC;;VTE/2021/05435;06/10/2021;GIRARDIN21;HELIN;95,0;114,0
FAC;;VTE/2021/05436;01/10/2021;COURTEIXST;CORIAT;1010,8;1212,96
FAC;;VTE/2021/05466;06/10/2021;ACTGAU;SAIDI;370,0;444,0
FAC;;VTE/2021/05437;06/10/2021;COMMULASUZ;BESCO;500,8;600,96
FAC;;VTE/2021/05438;06/10/2021;OPACBLOIS;JOBBI;619,03;742,84
