gl_naturepieceg;gl_souche;gl_numero;gl_numligne;gl_datepiece;gl_tiers;gl_representant;gl_codearticle;gl_puht;gl_puttc;gl_qtefact;gl_remiseligne;gl_montantht;gl_montantttc
FAC;;VTE/2021/04093;1;12/07/2021;GEISTEL;GASSM;XPAP;19,99;23,99;1,0;0;19,99;23,99
FAC;;VTE/2021/04094;1;30/06/2021;NOUSOELE91;CUREL;F311;24,0;28,8;1,0;0;24,0;28,8
FAC;;VTE/2021/04094;2;30/06/2021;NOUSOELE91;CUREL;XHYG;15,0;18,0;2,0;0;30,0;36,0
FAC;;VTE/2021/04094;3;30/06/2021;NOUSOELE91;CUREL;RAMA 5;92,7;111,24;1,0;0;92,7;111,24
FAC;;VTE/2021/04094;4;30/06/2021;NOUSOELE91;CUREL;ENV2;0,17;0,2;250,0;0;42,5;51,0
FAC;;VTE/2021/04095;1;13/07/2021;FANALCONSU;DECRO;P002;1,02;1,22;50,0;0;51,0;61,2
FAC;;VTE/2021/04095;2;13/07/2021;FANALCONSU;DECRO;C036BEI;38,5;46,2;1,0;0;38,5;46,2
FAC;;VTE/2021/04095;3;13/07/2021;FANALCONSU;DECRO;HY159A;14,0;16,8;1,0;0;14,0;16,8
FAC;;VTE/2021/04096;1;13/07/2021;SAVCHOCO68;FERRE;TB027;6,7;8,04;38,0;0;254,6;305,52
FAC;;VTE/2021/04097;1;13/07/2021;FACULTEVIL;HESS;HY326;17,4;20,88;1,0;0;17,4;20,88
FAC;;VTE/2021/04097;2;13/07/2021;FACULTEVIL;HESS;F099;12,24;14,69;2,0;0;24,48;29,38
FAC;;VTE/2021/04097;3;13/07/2021;FACULTEVIL;HESS;F195;3,0;3,6;2,0;0;6,0;7,2
FAC;;VTE/2021/04097;4;13/07/2021;FACULTEVIL;HESS;F349ASS;11,61;13,93;1,0;0;11,61;13,93
FAC;;VTE/2021/04097;5;13/07/2021;FACULTEVIL;HESS;CHEPL10;19,9;23,88;1,0;0;19,9;23,88
FAC;;VTE/2021/04097;6;13/07/2021;FACULTEVIL;HESS;HY324;17,4;20,88;1,0;0;17,4;20,88
FAC;;VTE/2021/04097;7;13/07/2021;FACULTEVIL;HESS;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04098;1;15/07/2021;SYNTHESEM;DELBA;A250;19,8;23,76;1,0;0;19,8;23,76
FAC;;VTE/2021/04098;2;15/07/2021;SYNTHESEM;DELBA;U005;38,0;45,6;1,0;0;38,0;45,6
FAC;;VTE/2021/04098;3;15/07/2021;SYNTHESEM;DELBA;U014;7,4;8,88;1,0;0;7,4;8,88
FAC;;VTE/2021/04098;4;15/07/2021;SYNTHESEM;DELBA;U016;27,9;33,48;1,0;0;27,9;33,48
FAC;;VTE/2021/04098;5;15/07/2021;SYNTHESEM;DELBA;HY254;20,28;24,34;1,0;0;20,28;24,34
FAC;;VTE/2021/04099;1;15/07/2021;AGANANCY54;FERRE;HY283;5,72;6,86;1,0;0;5,72;6,86
FAC;;VTE/2021/04099;2;15/07/2021;AGANANCY54;FERRE;F040;37,27;44,72;1,0;0;37,27;44,72
FAC;;VTE/2021/04099;3;15/07/2021;AGANANCY54;FERRE;HY278;8,81;10,57;1,0;0;8,81;10,57
FAC;;VTE/2021/04099;4;15/07/2021;AGANANCY54;FERRE;HY286;6,22;7,46;1,0;0;6,22;7,46
