yts_codearticle;yts_tariftiers;yts_datedebut;yts_datefin;yts_prixnet
HY188;001;01/01/2018 00:00;31/12/2099 00:00;19,0
F408;001;01/01/2018 00:00;31/12/2099 00:00;7,35
F408;003;01/01/2018 00:00;31/12/2099 00:00;6,4
F409;003;01/01/2018 00:00;31/12/2099 00:00;12,41
F409;001;01/01/2018 00:00;31/12/2099 00:00;14,26
HY173E;003;01/01/2018 00:00;31/12/2099 00:00;17,0
F351;003;01/01/2018 00:00;31/12/2099 00:00;144,25
F351;001;01/01/2018 00:00;31/12/2099 00:00;162,23
RAMAR;003;01/01/2018 00:00;31/12/2099 00:00;19,99
HY189;003;01/01/2018 00:00;31/12/2099 00:00;7,0
F428;003;01/01/2018 00:00;31/12/2099 00:00;12,0
F428;001;01/01/2018 00:00;31/12/2099 00:00;13,8
F429;003;01/01/2018 00:00;31/12/2099 00:00;9,5
F429;001;01/01/2018 00:00;31/12/2099 00:00;10,9
F430;003;01/01/2018 00:00;31/12/2099 00:00;24,15
F430;001;01/01/2018 00:00;31/12/2099 00:00;27,8
F065;003;01/01/2018 00:00;31/12/2099 00:00;7,45
F065;001;01/01/2018 00:00;31/12/2099 00:00;8,6
F432;003;01/01/2018 00:00;31/12/2099 00:00;9,18
F432;001;01/01/2018 00:00;31/12/2099 00:00;10,55
F042;003;01/01/2018 00:00;31/12/2099 00:00;6,5
F042;001;01/01/2018 00:00;31/12/2099 00:00;7,48
F043;003;01/01/2018 00:00;31/12/2099 00:00;4,95
F043;001;01/01/2018 00:00;31/12/2099 00:00;5,7
F354;003;01/01/2018 00:00;31/12/2099 00:00;9,17
F354;001;01/01/2018 00:00;31/12/2099 00:00;10,55
F014;003;01/01/2018 00:00;31/12/2099 00:00;10,16
F014;001;01/01/2018 00:00;31/12/2099 00:00;11,7
HY430;003;01/01/2018 00:00;31/12/2099 00:00;79,0
HY430;001;01/01/2018 00:00;31/12/2099 00:00;90,85
HY352;003;01/01/2018 00:00;31/12/2099 00:00;23,97
HY352;001;01/01/2018 00:00;31/12/2099 00:00;27,6
HY353;003;01/01/2018 00:00;31/12/2099 00:00;16,5
HY353;001;01/01/2018 00:00;31/12/2099 00:00;19,0
ENV40;003;01/01/2018 00:00;31/12/2099 00:00;65,0
ENV40;001;01/01/2018 00:00;31/12/2099 00:00;74,8
ENV41;003;01/01/2018 00:00;31/12/2099 00:00;65,0
ENV41;001;01/01/2018 00:00;31/12/2099 00:00;74,8
ENV43;003;01/01/2018 00:00;31/12/2099 00:00;65,0
ENV43;001;01/01/2018 00:00;31/12/2099 00:00;74,8
